                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.417,                 3.7884,                 2.4164,                      0,                      0,                      0,                      0,                  2.535,                 4.0878,                  2.594,             0.00011669,             0.00011669,             0.00011669
                      1,                 2.2387,                 3.4451,                 2.2139,                      0,                      0,                      0,                      0,                 2.5403,                 3.9977,                  2.438,             0.00024757,             0.00024757,             0.00024757
                      2,                 2.1018,                 2.9566,                 2.0397,                      0,                      0,                      0,                      0,                 2.4414,                 3.8199,                 2.4414,             0.00037582,             0.00037582,             0.00037582
                      3,                 2.0623,                 2.8096,                 1.9764,                      0,                      0,                      0,                      0,                 2.7544,                 3.8704,                 2.8867,             0.00050142,             0.00050142,             0.00050142
                      4,                 1.9784,                 2.7207,                 1.9693,                      0,                      0,                      0,                      0,                  2.612,                  3.772,                  2.664,             0.00062438,             0.00062438,             0.00062438
                      5,                 2.0011,                 2.6674,                 1.9817,                0.42248,                0.03846,                0.21129,                0.05427,                 2.4729,                 3.5488,                 2.8172,             0.00074471,             0.00074471,             0.00074471
                      6,                 2.0171,                 2.6328,                  1.949,                0.23333,                0.08974,                0.15761,                0.06275,                   2.64,                 3.7795,                 2.6984,             0.00086239,             0.00086239,             0.00086239
                      7,                 2.0265,                  2.535,                 1.9554,                0.23333,                0.08974,                0.15761,                0.06275,                 2.7013,                 3.8176,                 2.8316,             0.00097743,             0.00097743,             0.00097743
                      8,                 2.0215,                 2.5548,                 1.9681,                0.00267,                0.02564,                 0.0007,                0.00022,                 3.2487,                 8.6305,                 3.6206,              0.0010898,              0.0010898,              0.0010898
                      9,                 2.0752,                 2.5073,                 1.9957,                0.17268,                0.10256,                0.07812,                0.03269,                 2.9212,                 4.5679,                 3.2736,              0.0011996,              0.0011996,              0.0011996
                     10,                 2.0574,                 2.4485,                 1.9378,                 0.1619,                0.08262,                0.10171,                0.03911,                 2.7377,                 4.4185,                 2.8884,              0.0013067,              0.0013067,              0.0013067
                     11,                 2.0811,                 2.4622,                  1.995,                 0.1619,                0.08262,                0.10171,                0.03911,                  3.049,                 4.5982,                 2.7964,              0.0014112,              0.0014112,              0.0014112
                     12,                 2.0456,                 2.3879,                  1.961,                 0.1619,                0.08262,                0.10171,                0.03911,                 3.2813,                  4.605,                 3.4179,               0.001469,               0.001469,               0.001469
                     13,                 2.0462,                 2.3881,                 1.9604,                0.01351,                0.01282,                0.00707,                0.00071,                 3.4978,                 7.9335,                 3.8266,               0.001469,               0.001469,               0.001469
                     14,                 2.0207,                 2.3595,                 1.9598,                0.12903,                0.10256,                0.09233,                0.04044,                 3.0195,                 3.9591,                 3.3007,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0126,                 2.3412,                 1.9744,                0.09668,                0.07692,                0.04363,                0.02315,                 3.0411,                 4.1611,                 3.2943,               0.001436,               0.001436,               0.001436
                     16,                 2.0024,                 2.2428,                  1.941,                0.26984,                0.16002,                0.21925,                 0.0969,                 2.6754,                 3.4389,                 2.9639,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.9847,                 2.2201,                 1.9493,                0.39286,                0.12678,                0.27192,                0.12294,                 2.9068,                 3.3141,                 2.9602,              0.0014029,              0.0014029,              0.0014029
                     18,                  2.023,                 2.1741,                 1.9666,                0.21212,                0.06933,                0.11402,                0.05442,                 2.8158,                 3.7091,                 3.1659,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.0063,                 2.2757,                 1.9968,                0.09375,                0.03846,                0.05907,                0.02239,                 3.0173,                 4.9374,                 3.3594,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.0171,                  2.224,                 1.9517,                0.09373,                 0.0679,                0.04148,                0.01478,                 3.0698,                 5.3336,                 2.8611,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.9571,                 2.1412,                 1.9228,                0.12096,                0.23362,                0.10731,                0.03167,                 2.7052,                 5.8258,                 2.6967,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.9787,                 2.1481,                  1.943,                0.23693,                0.18993,                0.16165,                0.05965,                 2.5682,                 3.3783,                 2.5333,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.9461,                 2.1383,                 1.9331,                0.18207,                 0.1472,                 0.1324,                0.06272,                 2.6315,                 3.8916,                 2.8604,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.925,                 2.0886,                 1.8946,                0.19189,                0.14672,                 0.1447,                0.03613,                 2.7027,                 3.2103,                 2.6294,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.9435,                 2.1012,                 1.8908,                0.19538,                0.05698,                0.11395,                0.04448,                 2.6575,                 3.6621,                 2.6165,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.9208,                  2.015,                 1.8749,                  0.375,                0.22887,                0.33102,                0.10896,                 2.5911,                 2.6784,                 2.6108,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.9013,                 2.0118,                 1.8583,                0.34539,                0.21747,                0.24418,                0.08953,                 2.5941,                  2.875,                 2.6684,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.9094,                 1.9929,                 1.8827,                0.33574,                0.21035,                0.28015,                0.09074,                 2.4958,                 2.9516,                 2.5375,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.9045,                 1.9797,                 1.8553,                0.34538,                0.28632,                0.29917,                0.11128,                  2.515,                 2.9489,                 2.5208,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.8653,                 1.9192,                 1.8407,                0.28061,                0.18993,                0.20781,                0.06342,                 2.5198,                 3.0092,                 2.5426,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.8715,                 1.9257,                 1.8256,                0.40662,                0.20988,                0.26565,                0.10029,                 2.4927,                 2.9655,                 2.4838,              0.0011719,              0.0011719,              0.0011719
